project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
OECD Development Centre 2019-22 - OECD Development Centre - Cities Connect,OECD DEVELOPMENT CENTRE 2019-22 - OECD DEVELOPMENT CENTRE - CITIES CONNECT,"Sida intends to support, through co-financing from GLOBEC and GLOBEN, the OECD Development Centre with a total of SEK 40 million 2019-2022, divided into two projects focusing on developing aspects of informal economics (Tackling Vulnerability in the Informal Economy, TVIE) and with a focus on sustainable secondary cities (Cities Connect).This program will focus on the group that is mainly and permanently excluded from formal employment and which mainly involves people in high vulnerability and extreme poverty. Although much has been written about informality, the area is still underdeveloped and characterised by misinterpretation, which is probably due to the complexity of the informality. Informality is an area which has had a gaind importance within and on the activities of the OECD Development Centre and where Sida assesses the Development Centre can provide important contributions to increase the understanding of the root causes of informality and policy development in the field.      Within the framework of the strategy for Sweden s global development cooperation in the sustainable environment, sustainable climate and the sea, as well as the sustainable use of natural resources in 2018 â 2022 and its goals  sustainable cities and Societies , Cities Connect will focus on creating Conditions enabling secondary cities to be more efficient catalysts for sustainable urban development, poverty reduction, climate change management and resilience at local level. Their links to both major/capital cities and rural areas make secondary cities the key players in the environmental, economic and transformation process. These cities are increasingly going to play a key role in both climate adaptation and resilience-building strategies. As the population and built areas grow, energy needs will increase, while these cities are shifting to more carbon-intensive energy sources. Due to their strong links with rural areas and their dependence on primary economic activities, secondary cities will have to tackle issues such as climate-induced migration, floods, droughts, etc., as well as help capital cities mitigate environmental and socioeconomic problems. However, secondary cities face a number of binding problems that hinder their contribution to local and national development. These challenges arise from a rapid and chaotic urban expansion, which is aggravated by the lack of coordination between different levels of government, fragmented political systems and limited data and evidence for decision-making. In addition, sub-national authorities/local governmets are the first to face external negative shocks, including violent conflicts, unforeseen inflows of immigrants or refugees and more frequent natural disasters associated with climate change. Local authorities often have very limited mandates as well as poor capacities to implement policies and plans, making them heavily dependent on central government policies and financing decisions. Experts realise that",Yes,0.932007372379303
Basic health care,BASIC HEALTH CARE,"",Yes,0.931930780410767
Basic health care,BASIC HEALTH CARE,"",Yes,0.931930780410767
Basic health care,BASIC HEALTH CARE,"",Yes,0.931930780410767
Basic health care,BASIC HEALTH CARE,"",Yes,0.931930780410767
NDM - LA SOUFRIERE VOLCANO ERUPTION,NDM - LA SOUFRIERE VOLCANO ERUPTION,The objective of the Project is to assist GOSVG in restoring critical economic and social infrastructure and critical psychosocial support services in the aftermath of the volcanic eruption and to procure consultancy services to assist with the planning and design of longer-term recovery efforts,Yes,0.931916773319244
OFDA award for Health in Syria,OFDA AWARD FOR HEALTH IN SYRIA,OFDA award for Health in Syria,Yes,0.931886553764343
Nutrition Rapid Response Capacity in Ethiopia,NUTRITION RAPID RESPONSE CAPACITY IN ETHIOPIA,"The broad objectives of this APS are to: Support the emergency nutrition needs of vulnerable populations through a rapid response framework capable of conducting nutrition assessments and surveys, and provide capacity to rapidly begin or expand existing community-based management of acute malnutrition (CMAM) programs to respond to emerging nutrition needs, Support the enhancement of supplementary feeding systems to improve CMAM implementation and help prevent children with moderate acute malnutrition from becoming severely malnourished, Increase the capacity of local partners and communities to respond effectively and efficiently to emergency nutrition needs of target populations and transition the management of new and ongoing CMAM programs under the award to government and/or local relief organizations, and Provide nutrition response capacity CMAM programs.",Yes,0.931864321231842
Nutrition Rapid Response Capacity in Ethiopia,NUTRITION RAPID RESPONSE CAPACITY IN ETHIOPIA,"The broad objectives of this APS are to: Support the emergency nutrition needs of vulnerable populations through a rapid response framework capable of conducting nutrition assessments and surveys, and provide capacity to rapidly begin or expand existing community-based management of acute malnutrition (CMAM) programs to respond to emerging nutrition needs, Support the enhancement of supplementary feeding systems to improve CMAM implementation and help prevent children with moderate acute malnutrition from becoming severely malnourished, Increase the capacity of local partners and communities to respond effectively and efficiently to emergency nutrition needs of target populations and transition the management of new and ongoing CMAM programs under the award to government and/or local relief organizations, and Provide nutrition response capacity CMAM programs.",Yes,0.931864321231842
Livelihood support to Syrian refugees in Jordan (AiP),LIVELIHOOD SUPPORT TO SYRIAN REFUGEES IN JORDAN (AIP),"The project of the United Nations Office High Commissioner for Refugees (UNHCR) was to support the development of Syrian refugee business in Jordan, especially women. A total of 604 people were supported by trainings in hairdressing, tailoring and cosmetics. Furthermore, future self-employed people were provided with technical and business skills training and legal advice in order to enable to enter the labour market. 70 selected beneficiaries received an entry grant for the acquisition of equipment and materials necessary to launch their business, they were provided with legal assistance in registering a business and they were connected with potential business partners from retail and wholesalers so that they could start their business successfully. The project was completed in December 2021. The project was financed by the Aid in Place Programme of the Ministry of the Interior of the Czech Republic.",Yes,0.931707620620728
Intervention d'urgence - Coordination des secours et services de soutien et de protection,INTERVENTION D'URGENCE - COORDINATION DES SECOURS ET SERVICES DE SOUTIEN ET DE PROTECTION,Intervention d'urgence - Coordination des secours et services de soutien et de protection - Actions de coopÃ©ration internationale des collectivitÃ©s territoriales pour le dÃ©veloppement - Commune de Montreuil-Sous-Bois,Yes,0.931606590747833
RY  TAIZ MUNICIPAL DEV & FLOOD PROTEC,RY  TAIZ MUNICIPAL DEV & FLOOD PROTEC,"",Yes,0.931336343288422
RY  TAIZ MUNICIPAL DEV & FLOOD PROTEC,RY  TAIZ MUNICIPAL DEV & FLOOD PROTEC,"",Yes,0.931336343288422
RY  TAIZ MUNICIPAL DEV & FLOOD PROTEC,RY  TAIZ MUNICIPAL DEV & FLOOD PROTEC,"",Yes,0.931336343288422
RY  TAIZ MUNICIPAL DEV & FLOOD PROTEC,RY  TAIZ MUNICIPAL DEV & FLOOD PROTEC,"",Yes,0.931336343288422
Bringing Back Jobs Safely under the COVID-19 Crisis in the Philippines,BRINGING BACK JOBS SAFELY UNDER THE COVID-19 CRISIS IN THE PHILIPPINES,"The proposed project aims at contributing to improving the safety and health of workers in MSMES(Micro-, Small and Medium-sized Enterprises) in the non-metropolitan regions of the Philippines and mitigating the negative socioeconomic impact of the COVID-19 crisis.",Yes,0.931092083454132
"Strengthening Maternal, SRH, GBV Prevention and Response in humanitarian settings in the context of COVID-19 pandemic.","STRENGTHENING MATERNAL, SRH, GBV PREVENTION AND RESPONSE IN HUMANITARIAN SETTINGS IN THE CONTEXT OF COVID-19 PANDEMIC.","to strengthen the capacity of health facilities to deliver quality Maternal Health, Sexual and Reproductive Health, and Gender Based Violence(GBV) prevention and response services in the context of COVID-19.",Yes,0.931001126766205
Protect and secure a family environment for unaccompanied children or children separated from their families in the North of Nigeria,PROTECT AND SECURE A FAMILY ENVIRONMENT FOR UNACCOMPANIED CHILDREN OR CHILDREN SEPARATED FROM THEIR FAMILIES IN THE NORTH OF NIGERIA,El proyecto consiste en proveer atenciÃ³n integral a 500 niÃ±os y niÃ±as separados de sus familias y buscar las familias biolÃ³gicas para reunificar el grupo completo.,Yes,0.930984616279602
Protect and secure a family environment for unaccompanied children or children separated from their families in the North of Nigeria,PROTECT AND SECURE A FAMILY ENVIRONMENT FOR UNACCOMPANIED CHILDREN OR CHILDREN SEPARATED FROM THEIR FAMILIES IN THE NORTH OF NIGERIA,El proyecto consiste en proveer atenciÃ³n integral a 500 niÃ±os y niÃ±as separados de sus familias y buscar las familias biolÃ³gicas para reunificar el grupo completo.,Yes,0.930984616279602
Special Measure for the EU-IOM Joint Initiative on Migrant Protection and Reintegration,SPECIAL MEASURE FOR THE EU-IOM JOINT INITIATIVE ON MIGRANT PROTECTION AND REINTEGRATION,"The Action will continue activities under the existing contracts of the EU-IOM Joint Initiative in the Sahel and Lake Chad and Horn of Africa regions, in particular provide protection, assistance and sustainable solutions for migrants and refugees.",Yes,0.930922627449036
Intervention d'urgence - Assistance matÃ©rielle et services d'urgence,INTERVENTION D'URGENCE - ASSISTANCE MATÃRIELLE ET SERVICES D'URGENCE,Intervention d'urgence - Assistance matÃ©rielle et services d'urgence - Actions de coopÃ©ration internationale des collectivitÃ©s territoriales pour le dÃ©veloppement - Conseil dÃ©partemental - Conseil dÃ©partemental de Dordogne,Yes,0.930623412132263
(Re-)Construction of Refugee Shelter in Santo Domingo / Ecuador,(RE-)CONSTRUCTION OF REFUGEE SHELTER IN SANTO DOMINGO / ECUADOR,"Adaptation of the premises of a refugee shelter of the NGO 'MisiÃ³n Scalabriniana'. Creation of community spaces and lavatories for refugees, as well as offices for the use of private consultation.",Yes,0.930582642555237
Emergency Grant Aid in response to the humanitarian crisis in seven African countries,EMERGENCY GRANT AID IN RESPONSE TO THE HUMANITARIAN CRISIS IN SEVEN AFRICAN COUNTRIES,Provision of emergency nutrition services in South Sudan,Yes,0.930574893951416
"Improving livelihoods of refugees in Serbia, Kosovo and Bosnia and Herzegovina","IMPROVING LIVELIHOODS OF REFUGEES IN SERBIA, KOSOVO AND BOSNIA AND HERZEGOVINA","Improving livelihoods of refugees in Serbia, Kosovo and Bosnia and Herzegovina",Yes,0.930540204048157
Emergency Grant Aid in response to the humanitarian crisis in Syria,EMERGENCY GRANT AID IN RESPONSE TO THE HUMANITARIAN CRISIS IN SYRIA,Protecting children from the impact of harsh weather conditions- Winter 2020-2021,Yes,0.930530965328217
Emergency Grant Aid in Response to COVID-19 in India,EMERGENCY GRANT AID IN RESPONSE TO COVID-19 IN INDIA,To strengthen the healthcare system in India through the procurement of mobile medical equipment and training,Yes,0.930474162101746
Relocation and rehabilitation of houses and related infrastructure destroyed by landslides in March 2006 in Central Serbia,RELOCATION AND REHABILITATION OF HOUSES AND RELATED INFRASTRUCTURE DESTROYED BY LANDSLIDES IN MARCH 2006 IN CENTRAL SERBIA,Relocation and rehabilitation of houses and related infrastructure destroyed by landslides in March 2006 in Central Serbia,Yes,0.930470883846283
Relocation and rehabilitation of houses and related infrastructure destroyed by landslides in March 2006 in Central Serbia,RELOCATION AND REHABILITATION OF HOUSES AND RELATED INFRASTRUCTURE DESTROYED BY LANDSLIDES IN MARCH 2006 IN CENTRAL SERBIA,Relocation and rehabilitation of houses and related infrastructure destroyed by landslides in March 2006 in Central Serbia,Yes,0.930470883846283
Relocation and rehabilitation of houses and related infrastructure destroyed by landslides in March 2006 in Central Serbia,RELOCATION AND REHABILITATION OF HOUSES AND RELATED INFRASTRUCTURE DESTROYED BY LANDSLIDES IN MARCH 2006 IN CENTRAL SERBIA,Relocation and rehabilitation of houses and related infrastructure destroyed by landslides in March 2006 in Central Serbia,Yes,0.930470883846283
Renovation of the Hospital laundry of the Hospital of Nemba to prevent COVID19 and reduce hospital infections,RENOVATION OF THE HOSPITAL LAUNDRY OF THE HOSPITAL OF NEMBA TO PREVENT COVID19 AND REDUCE HOSPITAL INFECTIONS,"TÃ­tulo completo del proyecto: RehabilitaciÃ³n de la lavanderÃ­a del Hospital de Nemba para prevenir la COVID19 y reducir las infecciones hospitalarias :: El proyecto plantea la rehabilitaciÃ³n de la lavanderÃ­a del Hospital de Nemba (Hospital de referencia en el distrito de Gakenke, Ruanda) para permitir una adecuada desinfecciÃ³n y limpieza de la ropa y textiles hospitalarios, de tal modo que se reduzcan las infecciones hospitalarias que afectan especialmente a los bebÃ©s reciÃ©n nacidos y a los niÃ±os y niÃ±as menores de cinco aÃ±os, provocando una alta tasa de fallecimientos de neonatos durante la hospitalizaciÃ³n y el empeoramiento del estado de salud de las personas mÃ¡s vulnerables.En 2018, con apoyo de la FundaciÃ³n Ordesa, medicusmundi logrÃ³ los recursos suficientes como para acometer una reforma parcial de la lavanderÃ­a que estaba en una situaciÃ³n deplorable y totalmente inoperativa.Aunque el estado de las instalaciones de la lavanderÃ­a hubiera requerido de una remodelaciÃ³n total, la falta de recursos obligÃ³ a planificar la rehabilitaciÃ³n en dos fases. La primera fase, acometida en 2019, hizo frente a las necesidades mÃ¡s urgentes en tÃ©rminos de infecciones y fallecimientos de neonatos, permitiendo Ãºnicamente el lavado adecuado de la ropa del Ã¡rea de maternidad e infantil y manteniendo dos de los cuatro compartimentos en su estado original:Esta planificaciÃ³n, acordada con el Hospital, respondiÃ³ a la realidad econÃ³mica y afrontaba las necesidades mÃ¡s urgentes, pero no ha permitido solventar el problema, agravado por la COVID19, que exige mayor grado si cabe de desinfecciÃ³n y limpieza en los textiles hospitalarios, y que la lavanderÃ­a en su estado actual no puede ofrecer, aumentando el riesgo de contagios y fallecimientos por COVID19, que se suman a las enfermedades nosocomiales habituales.Hay que tener en cuenta que las personas hospitalizadas en el Hospital de Nemba se encuentran en situaciones de extrema vulnerabilidad, y con un estado de salud muy frÃ¡gil puesto que el Hospital es siempre el Ãºltimo recurso, y cuando llegan a Ã©l lo hacen en situaciones muy complicadas, siendo muy vulnerables a infecciones, complicaciones o enfermedades oportunistas.AdemÃ¡s de hacer frente a esta situaciÃ³n mediante la rehabilitaciÃ³n de los dos compartimentos restantes, el proyecto permitirÃ¡ que el Hospital obtenga la acreditaciÃ³n oficial de calidad del Ministerio de Salud, imprescindible para seguir ofreciendo los servicios actuales a la poblaciÃ³n del distrito, y mejorarÃ¡ la situaciÃ³n laboral de las personas que actualmente se encargan de la colada.Este proyecto serÃ¡ utilizado para llevar a cabo acciones de sensibilizaciÃ³n en AragÃ³n vinculadas a la importancia de la higiene y de la prevenciÃ³n.",Yes,0.930386066436768
